Date,Open,High,Low,Close
1/3/2006,211.47,218.05,209.32,217.83
1/4/2006,222.17,224.7,220.09,222.84
1/5/2006,223.22,226,220.97,225.85
1/6/2006,228.66,235.49,226.85,233.06
1/9/2006,233.44,236.94,230.7,233.68
